Latitude,Longitude,CustType
-6.818204897,39.28809591,personal
-6.6173653,39.1235548,personal
-6.7405999,39.1489979,personal
-6.706943423,39.11664167,personal
-6.369028,34.888822,personal
-6.6173653,39.1235548,personal
-6.8107038,39.2588155,personal
-6.6614771,39.2003461,personal
-6.740740566,39.14883239,personal
-6.7829438,39.2245606,corporate
-6.7231168,39.2299377,corporate
-6.7271309,39.2071368,personal
-6.774306431,39.23337666,personal
-6.617360425,39.12355363,personal
-6.6614771,39.2003461,personal
-6.7152436,39.2117887,personal
-6.806146615,39.17799531,personal
-6.8264417,39.2571329,corporate
-6.8107874,39.2596277,personal
-6.8272119,39.2692071,personal
-6.7925196,39.2086751,personal
-6.7348946,39.1992497,personal
-6.8090633,39.2219019,personal
-6.6911329,39.1906049,personal
-6.7405999,39.1489979,personal
-6.68620569,39.18982247,personal
-6.773847282,39.23300533,personal
-6.7502874,39.190371,personal
-6.7742732,39.2334023,corporate
-6.6614771,39.2003461,personal
-6.7902583,39.2632716,personal
-6.617360425,39.12355363,personal
-6.9275886,39.1335549,personal
-6.7925196,39.2086751,personal
-3.6251732,30.585714,personal
-6.801802289,39.24670849,personal
-6.708957224,39.19735193,personal
-6.7925196,39.2086751,personal
-6.751458569,39.16342414,personal
-6.8207991,39.2632744,personal
-6.8077377,39.0818149,personal
-6.821390861,39.27347852,personal
-6.7851658,39.2574864,personal
-6.730672382,39.10879612,personal
-6.652738048,39.19414628,personal
-6.6614771,39.2003461,personal
-6.7974888,39.1972353,personal
-6.80927475,39.21425865,corporate
-6.6173653,39.1235548,personal
-6.8090633,39.2219019,personal
-6.7405999,39.1489979,personal
-6.7405999,39.1489979,personal
-6.8107874,39.2596277,personal
-6.818002728,39.27254103,personal
-6.680635098,39.17602845,personal
-7.017280826,39.3142523,personal
-6.7405999,39.1489979,personal
-6.7925196,39.2086751,personal
-6.641030961,39.18421305,personal
-6.591991,39.1146161,personal
-6.7723197,39.1575438,personal
-6.8215457,39.2695719,personal
-6.8107874,39.2596277,personal
-6.7982538,39.2099472,personal
-6.6173653,39.1235548,personal
-6.369028,34.888822,personal
-6.8107874,39.2596277,personal
-6.7405999,39.1489979,personal
-6.7880633,39.2379615,personal
-6.369028,34.888822,personal
-6.828003,39.2568497,personal
-6.7414821,39.0881198,personal
-6.819472761,39.24783111,personal
-6.369028,34.888822,personal
-6.7038539,39.1823857,personal
-6.8090633,39.2219019,personal
-6.9183545,39.2833639,personal
-6.6173653,39.1235548,personal
-6.7406614,39.1507217,personal
-6.6352417,39.167676,personal
-6.8966287,39.2511204,personal
-6.8055176,39.2737513,personal
-6.8038095,39.166302,personal
-6.7742732,39.2334023,personal
-6.7620444,39.2418168,personal
-6.8197286,39.2729993,personal
-6.7405999,39.1489979,personal
-6.791231007,39.20363903,personal
-6.7925196,39.2086751,personal
-6.8038095,39.166302,personal
-6.7937497,39.2417088,personal
-6.6173653,39.1235548,personal
-6.8107874,39.2596277,personal
-6.7120136,39.1664248,personal
-6.369028,34.888822,personal
-6.819568637,39.29719448,personal
-6.833791792,39.25755485,personal
-6.6262152,39.1305445,personal
-6.6614771,39.2003461,personal
-6.8207991,39.2632744,personal
-6.6173653,39.1235548,personal
-6.7414821,39.0881198,personal
-6.6646888,39.18730046,personal
-6.801261228,39.16905999,personal
-6.811269341,39.17395585,personal
-6.369028,34.888822,personal
-6.654925,39.0847583,personal
-6.369028,34.888822,personal
-6.7742732,39.2334023,personal
-6.8160878,39.2143838,personal
-6.661628865,39.20048561,personal
-6.736657731,39.19162005,personal
-6.7332288,39.1929836,personal
-6.369028,34.888822,personal
-6.810908303,39.10746486,personal
-6.7904705,39.2506594,personal
-6.8038095,39.166302,personal
-6.7231168,39.2299377,corporate
-6.7405999,39.1489979,personal
-6.81830816,39.2873186,personal
-6.7414821,39.0881198,personal
-6.7473712,39.2816971,corporate
-6.7473712,39.2816971,personal
-6.369028,34.888822,corporate
-6.7405999,39.1489979,personal
-6.459392193,35.55761456,personal
-6.369028,34.888822,personal
-6.7405999,39.1489979,personal
-6.818322,39.2875377,personal
-6.7473712,39.2816971,personal
-6.6614771,39.2003461,corporate
-6.7905932,39.2195264,personal
-6.757500661,39.19517398,personal
-6.749135,39.1636695,personal
-6.823960035,39.27447934,corporate
-6.797000008,39.23393458,personal
-6.7694017,39.2297917,personal
-6.6614771,39.2003461,personal
-6.7405999,39.1489979,personal
-6.8038095,39.166302,personal
-6.7971123,39.2336791,corporate
-6.6614771,39.2003461,personal
-6.8077377,39.0818149,personal
-6.6883618,39.2009943,personal
-6.7603705,39.193838,personal
-6.712199109,39.2134881,corporate
-6.818322,39.2875377,corporate
-6.840714543,39.14170182,personal
-6.7302454,39.2146584,personal
-6.369028,34.888822,personal
